sentence,relation,head,head_offset,tail,tail_offset
空尤专注于航空行业资讯，以及空姐生活化的互动社交平台。~【全球空姐】超高颜值的空姐社区，在飞、在读空姐都能在这里互动交流、拓展资源。~【记录美好】优质空姐行程动态，原创图文与视频，记录美好生活。~【航空资讯】追踪航空行业前沿快讯，让你速览行业新鲜、热门动向。~【空乘认证】专业认证，100%智能AI真人识别认证，打造真实的空乘社区。~,应用平台,空尤,0,互动社交平台,20
1号社区APP所倡导的服务模式，是围绕社区服务为中心，借助智能化、网络化、移动化的物业管理、电商平台、社交互动与分享，为居民提供全家全生命周期的居家生活服务，让物业由对物的管理转向对人的服务，让小区人与人、人与家、家与家紧密连接的o2o生活平台。~,应用平台,1号社区,0,物业管理、电商平台,41
省钱线报app是一款导购平台软件，内有专业的导购线上为您服务，不用出门就能体验到实体店的服务，商品丰富齐全不重样，给您的购物生活带去方便，超值优惠！1、每日签到积分可换礼品，线上购物，商品丰富；2、智能分类，提供各种优惠资讯服务；3、购物能省钱，还有优惠劵发放。~,交互模式,省钱线报,0,导购,10
EH遥控器是由江苏四合院大数据有限公司开发的智能供暖单机版app。致力于为客户提供更安全、更便捷、更贴心的服务与平台支持。,版权,EH遥控器,0,江苏四合院大数据有限公司,7
"笃爱直播是一款老年和残疾人较多的聊天类社交软件，旨在汇集大量优质的直播内容,为广大的百姓群体提供真实的,有趣的,正能量的高品质内容,传播正能量，不错过生活每一个精彩的瞬间，致力打造爱心平台，弘扬社会好风气。~",交互模式,笃爱直播,0,聊天,16
E德财富是德州银行为广大市民精心打造的网络金融直销平台。~包括自动理财、定期理财、活期理财、P2P等高端理财产品。~E德财富是德州银行为广大市民精心打造的网络金融直销平台。~包括自动理财、定期理财、活期理财、P2P等高端理财产品。~,交互模式,E德财富,0,金融直销,21
“掌上宁都”是宁都县融媒体中心新闻资讯的主阵地，集海量国内外资讯、视频直播、VR看宁都、H5展示、云社区、广播电视、微信微博等为一体的手机APP。,开发者,“掌上宁都”,0,宁都县融媒体中心,7
宅家配送，懒人生活的福音，专业打造一小时内即时生鲜配送平台，包含蔬菜、水果、海鲜水产、粮油调味、熟食、冻品等各个品类，专注为消费者带来更快、更好的极致体验本应用仅在（福建省宁德市）内使用,应用平台,宅家配送,0,生鲜配送平台,23
E融汇5.0基于E融汇3.0，由中国银行股份有限公司推出的一款，以提升客户体验为核心，集外汇交易、结售汇等交易、资讯为一体的移动资金交易APP，该版本在原3.0基础上，全面重构了APP页面UI，更新了E直击功能，实现了安全优化以及Bug修复。~,版权,E融汇5.0,0,中国银行股份有限公司,16
牛乐是集交友，社交，技能共享于一体的开放合作平台，汇集了游戏，娱乐，运动，专业，生活等各领域爱好者。我们提供一对一在线专人服务，只要你有热情，你也可以成为他们的一份子，一起加入进来吧！,交互模式,牛乐,0,在线专人服务,57
